id,saleprice
2658,129822.56399823236
2718,183368.17427921866
2414,220578.64534991886
1989,127626.57197526807
625,183127.1074102905
333,89831.0364735534
1327,95829.62097907916
858,142043.78554889408
95,183635.13418318587
1568,163060.91984443413
2482,181068.8250769059
1364,118087.48936039803
2584,144948.07728124072
818,265971.8906492798
2673,164509.62779774948
2089,127232.30454248667
1297,174100.64501724963
790,108045.37997010548
2616,193923.5376884659
720,222411.84117597993
222,143082.43080020603
557,119654.99801886652
1148,200013.19540096796
2766,146225.93776581122
534,188772.45046676893
1452,106494.87480581459
630,139984.90692294936
2648,149191.4215978043
125,163038.92808313074
1904,29599.851506417443
1670,96546.77705849998
756,103668.46698997938
717,259734.55810812418
1032,166609.73292094225
852,226248.03357757023
1731,169612.84037857084
2639,124018.40916523733
2071,56643.47406004107
1267,139743.18744609726
1851,192473.11363676563
567,160381.46749209217
2439,229246.4608467418
1898,157517.77847154136
647,171579.77306413068
2256,241780.6120284429
979,101240.4122297666
1444,230778.20371891372
2485,120296.30335075909
157,105599.69949841639
88,118992.18377517001
2003,107664.71468438196
186,215811.80869924673
1425,256902.07676285785
2695,122926.30245343992
738,122791.02006372844
395,153064.14907009958
1353,160141.1711083724
1878,151345.95713583892
390,168447.36935065652
1456,244343.35567992367
1103,302077.3648296818
1387,133575.66813172796
2070,145932.58546298603
1199,176709.59966629976
2479,191857.91035672673
501,297402.1569557836
2362,81896.99163073214
1718,220420.76777990686
2188,82594.9851591757
1483,182155.71459648327
2557,81027.93659695459
437,321893.0970029476
2224,183925.42276829656
1628,205233.02079514938
397,130839.39554233919
587,206204.7518372091
971,154309.24153612612
2611,143305.64985494222
1887,75277.40057424473
2399,352117.96337448596
2148,219805.31335599732
304,123483.01261483622
1997,145121.97083300038
2817,123822.97548379819
1431,188314.7575003293
427,328645.19484853616
263,116172.07289752923
598,192440.38915909093
2895,245360.93337204948
687,148006.84487431846
1822,130351.31327630521
2191,96734.84074716223
179,113850.53048948955
1009,228538.48392804852
2010,113672.44200582709
1991,159911.48028586467
1411,163980.63714766002
1721,245888.23361221002
1144,201718.74527576123
593,222029.58717544633
575,309037.2134271286
1249,187135.68490328046
1604,117630.94539463287
1064,404741.53697672684
1923,153144.04863139044
1988,102687.17196878162
2325,184988.72334877157
114,194908.8423342883
2700,171167.88535037427
217,121080.21588888974
343,191585.49566609517
386,231572.18576094543
2005,106655.87219461403
2908,108558.44028082583
1814,235180.4823272836
2446,414979.9085245867
208,174962.8735971253
1679,123390.59047600895
822,341129.02745159157
6,197246.33118676883
1781,378293.20172166824
2397,292116.3240893299
2340,291432.4061973876
1618,152829.5990507577
2843,154174.92639523267
1061,344027.10124395636
2786,102504.42185412569
1935,130776.49300023669
1341,127500.18317787733
521,266112.06774859084
2136,145744.91816395626
996,187843.0513913614
227,144646.92163437593
135,178594.1430121255
1167,165770.46729948441
294,229025.6062103262
1776,190768.8117216864
540,187447.9946537153
1717,218372.9094148425
2303,115303.86784352455
116,188637.7560045463
127,129798.62570851098
1371,127069.87756123208
1014,162267.09778263525
1507,84634.090455133
702,160182.5089049521
750,151265.49454299186
261,146587.02364974678
1559,50346.58145729726
577,218472.32580683054
2812,200626.73234701587
2080,158527.38827682275
1368,113832.32859077258
2376,120780.74325073534
659,126616.30817325879
1235,127049.87878753361
332,70571.80964187998
1917,138169.1741526064
2094,247447.34116595972
1460,262039.31546925812
1471,214510.46290062787
1509,114786.83801348018
1922,124686.83064077806
433,414613.14620496565
460,293350.6277601223
1116,247128.31623396603
1137,171941.85686028237
53,193970.13219047373
2354,255559.28310231701
1475,206111.957039907
1761,423525.7765561945
842,132981.3213665227
2739,166708.90736269904
2509,167295.9948277464
1007,219516.44910870888
2610,188441.77153447783
1952,94868.7507880166
2719,186118.69874775293
2921,92603.12146797695
1966,126369.7446273329
292,120802.50059676939
1204,213677.80533651542
1829,245535.92944598803
2419,196888.8174189832
391,168287.49488961732
798,119405.64359877154
481,225832.17492938903
193,212392.44305354508
555,107216.95167520817
899,46439.33747766528
2357,189394.41918952076
328,129871.06715664885
1356,100585.60289316403
1154,110732.1224733661
1730,197929.82416822738
2249,153735.21002568968
1119,279068.4293875578
2856,131783.62945619668
1394,126424.24420424108
2587,136074.56832834939
61,279348.690586915
2661,177801.57298207574
2711,119317.68350133207
1147,204093.25442643778
757,141753.13293626183
2623,71757.2206106591
2378,160014.54131047532
1413,152554.9709131627
1722,236875.0974298492
1112,231074.2532232356
1623,190058.19918373844
1201,218991.29500542977
1513,120280.83104773914
957,233082.72622911993
1171,276382.9170666133
1145,213999.9887967828
2726,210105.0729106717
703,149060.26191374322
760,99035.8431573055
1964,136386.46043955884
2512,204884.15151267732
159,146845.69124982075
1281,187020.02316813124
468,192233.88761470106
290,126618.15179048292
665,110272.69038885261
1463,259486.71799057804
1792,218777.94311464287
923,130117.82165344537
500,279242.95482834114
1408,134716.78175101487
331,62630.07608778775
170,171199.69690230838
2192,92425.71989032684
2571,294474.3658032225
2314,172065.9837713713
2647,87089.99873662228
422,392411.5992166785
2457,331879.3456440582
1838,208603.17079646466
2805,243439.6941876557
1645,151948.85399423144
1711,294905.67038496037
2825,251304.396193131
322,327168.3764020547
2103,263209.9628685366
342,112998.16081923037
600,108971.22497324413
488,174663.58590123407
1725,308376.72863848554
2246,274280.15299139265
2847,157808.33956632786
806,251239.25058421155
530,233805.27350946388
963,197189.0767521432
2678,100537.76861203823
171,83413.24873075867
2401,397501.6585026124
805,239521.63334368938
2259,257266.9135206953
1748,218720.37555999425
1361,132796.5106974109
1677,139354.88179900742
1406,155370.3340949237
2322,234969.50392315164
688,165636.8212403797
143,130343.32705671305
804,231016.4667698542
1214,166737.5836370763
2828,155038.9577577624
1999,207402.40874944045
2467,193113.28315949324
2665,169433.0997707292
1538,325771.3643130411
398,111555.4322673449
2822,130237.63961191243
2157,171451.71903080563
1856,175861.09916920913
1269,95776.30740601593
2570,114474.91924795334
2320,245085.56565090723
1517,121807.31283182965
2304,102471.12033603992
1312,96747.33466083417
2012,150163.48435069795
506,235807.89817958523
2865,199263.7428022232
2367,124776.83789873938
554,98987.08250506304
238,128688.38739521883
1954,102615.89433292765
2488,147158.66099610773
2291,87531.2344932321
1969,86340.41786673106
2725,166411.8022136856
1482,182155.74055291328
2763,212180.01670309482
503,257276.08119395934
1584,260127.34837066522
1531,152767.47830410418
2210,182946.55018020538
459,326871.0790132899
556,132264.8287415394
1347,144992.86172069027
1290,71494.09972704068
1388,97067.16100240208
1571,197231.03149495227
2754,212558.1831999604
765,138639.98047777324
2494,112255.20254519314
2870,208743.97899258148
7,223314.4537478264
1114,261927.489155069
2418,272879.1500067025
291,117741.74075198348
18,336917.8511469236
39,355618.93656131485
1001,254306.40951124963
2442,243830.03540805227
616,135923.8643297105
2680,38003.5014891834
1414,118284.84535136388
289,150301.79590290762
40,239924.7732201676
860,127887.75236336433
409,138709.65367913037
673,141150.185158849
2427,194930.17087024497
2036,199504.1684166002
2564,143716.58237784903
642,176850.3883779836
1008,184893.7159202093
1908,170487.2216780678
2519,212526.24372951535
1369,95354.34933775687
2855,167996.65933887765
712,98881.28822802065
1943,114024.73798834428
1958,139769.94372513157
107,197079.1139775447
2295,203732.05241222028
704,90411.30141742597
676,149160.73897879187
259,184586.01046237443
93,283752.38525613747
106,245882.46299320366
2315,171455.9763219984
